"rank","itemUrl","itemTitle","author","description","genres","genrecount"
"329","/book/show/13536860-fifty-shades-freed","Fifty Shades Freed (Fifty Shades, #3)","E.L. James","When unworldly student Anastasia Steele first encountered the driven and dazzling young entrepreneur Christian Grey it sparked a sensual affair that changed both of their lives irrevocably. Shocked, intrigued, and, ultimately, repelled by Christian’s singular erotic tastes, Ana demands a deeper commitment. Determined to keep her, Christian agrees.Now, Ana and Christian hav
  When unworldly student Anastasia Steele first encountered the driven and dazzling young entrepreneur Christian Grey it sparked a sensual affair that changed both of their lives irrevocably. Shocked, intrigued, and, ultimately, repelled by Christian’s singular erotic tastes, Ana demands a deeper commitment. Determined to keep her, Christian agrees.Now, Ana and Christian have it all—love, passion, intimacy, wealth, and a world of possibilities for their future. But Ana knows that loving her Fifty Shades will not be easy, and that being together will pose challenges that neither of them would anticipate. Ana must somehow learn to share Christian’s opulent lifestyle without sacrificing her own identity. And Christian must overcome his compulsion to control as he wrestles with the demons of a tormented past.Just when it seems that their strength together will eclipse any obstacle, misfortune, malice, and fate conspire to make Ana’s deepest fears turn to reality.This book is intended for mature audiences.
  ...more","/genres/erotica;/genres/fiction;/genres/bdsm;/genres/adult;/genres/contemporary","1,774 users;1,319 users;1,112 users;967 users;740 users"
"330","/book/show/16793.Stardust","Stardust","Neil Gaiman","Young Tristran Thorn will do anything to win the cold heart of beautiful Victoria—even fetch her the star they watch fall from the night sky. But to do so, he must enter the unexplored lands on the other side of the ancient wall that gives their tiny village its name. Beyond that old stone wall, Tristran learns, lies Faerie—where nothing, not even a fallen star, is what he
  Young Tristran Thorn will do anything to win the cold heart of beautiful Victoria—even fetch her the star they watch fall from the night sky. But to do so, he must enter the unexplored lands on the other side of the ancient wall that gives their tiny village its name. Beyond that old stone wall, Tristran learns, lies Faerie—where nothing, not even a fallen star, is what he imagined.From #1 New York Times bestselling author Neil Gaiman comes a remarkable quest into the dark and miraculous—in pursuit of love and the utterly impossible.
  ...more","/genres/fantasy;/genres/fiction;/genres/young-adult;/genres/romance;/genres/adventure","13,518 users;2,822 users;1,165 users;1,126 users;657 users"
"331","/book/show/1215032.The_Wise_Man_s_Fear","The Wise Man's Fear (The Kingkiller Chronicle, #2)","Patrick Rothfuss","“There are three things all wise men fear: the sea in storm, a night with no moon, and the anger of a gentle man.”My name is Kvothe.I have stolen princesses back from sleeping barrow kings. I burned down the town of Trebon. I have spent the night with Felurian and left with both my sanity and my life. I was expelled from the University at a younger age than most people are
  “There are three things all wise men fear: the sea in storm, a night with no moon, and the anger of a gentle man.”My name is Kvothe.I have stolen princesses back from sleeping barrow kings. I burned down the town of Trebon. I have spent the night with Felurian and left with both my sanity and my life. I was expelled from the University at a younger age than most people are allowed in. I tread paths by moonlight that others fear to speak of during day. I have talked to Gods, loved women, and written songs that make the minstrels weep.You may have heard of me.So begins the tale of a hero told from his own point of view — a story unequaled in fantasy literature. Now in The Wise Man's Fear, an escalating rivalry with a powerful member of the nobility forces Kvothe to leave the University and seek his fortune abroad. Adrift, penniless, and alone, he travels to Vintas, where he quickly becomes entangled in the politics of courtly society. While attempting to curry favor with a powerful noble, Kvothe uncovers an assassination attempt, comes into conflict with a rival arcanist, and leads a group of mercenaries into the wild, in an attempt to solve the mystery of who (or what) is waylaying travelers on the King's Road.All the while, Kvothe searches for answers, attempting to uncover the truth about the mysterious Amyr, the Chandrian, and the death of his parents. Along the way, Kvothe is put ﻿on trial by the legendary Adem mercenaries, is forced to reclaim the honor of the Edema Ruh, and travels into the Fae realm. There he meets Felurian, the faerie woman no man can resist, and who no man has ever survived...until Kvothe.In The Wise Man's Fear, Kvothe takes his first steps on the path of the hero and learns how difficult life can be when a man becomes a legend in his own time.
  ...more","/genres/fantasy;/genres/fiction;/genres/epic-fantasy","11,831 users;1,406 users;688 users"
"332","/book/show/7733.Gulliver_s_Travels","Gulliver's Travels","Jonathan Swift;Robert DeMaria Jr.","'I felt something alive moving on my left leg ... when bending my Eyes downwards as much as I could. I perceived it to be a human Creature not six inches high' Shipwrecked and cast adrift, Lemuel Gulliver wakes to find himself on Lilliput, an island inhabited by little people, whose height makes their quarrels over fashion and fame seem ridiculous. His subsequent encounte
  
  'I felt something alive moving on my left leg ... when bending my Eyes downwards as much as I could. I perceived it to be a human Creature not six inches high'
Shipwrecked and cast adrift, Lemuel Gulliver wakes to find himself on Lilliput, an island inhabited by little people, whose height makes their quarrels over fashion and fame seem ridiculous. His subsequent encounters - with the crude giants of Brobdingnag, the philosophical Houyhnhnms and the brutish Yahoos - give Gulliver new, bitter insights into human behaviour. Swift's savage satire view mankind in a distorted hall of mirrors as a diminished, magnified and finally bestial species, presenting us with an uncompromising reflection of ourselves.This text, based on the first edition of 1726, reproduces all its original illustrations and includes an introduction by Robert Demaria, Jr, which discusses the ways Gulliver's Travels has been interpreted since its first publication.
  ...more","/genres/classics;/genres/fiction;/genres/fantasy;/genres/adventure;/genres/literature","6,066 users;2,534 users;1,566 users;579 users;552 users"
"333","/book/show/7588.A_Portrait_of_the_Artist_as_a_Young_Man","A Portrait of the Artist as a Young Man","James Joyce;Seamus Deane","A Portrait of the Artist as a Young Man is the first novel of Irish writer James Joyce. A Künstlerroman in a modernist style, it traces the religious and intellectual awakening of young Stephen Dedalus, a fictional alter ego of Joyce and an allusion to Daedalus, the consummate craftsman of Greek mythology. Stephen questions and rebels against the Catholic and Irish convent
  A Portrait of the Artist as a Young Man is the first novel of Irish writer James Joyce. A Künstlerroman in a modernist style, it traces the religious and intellectual awakening of young Stephen Dedalus, a fictional alter ego of Joyce and an allusion to Daedalus, the consummate craftsman of Greek mythology. Stephen questions and rebels against the Catholic and Irish conventions under which he has grown, culminating in his self-exile from Ireland to Europe. The work uses techniques that Joyce developed more fully in Ulysses (1922) and Finnegans Wake (1939).
  ...more","/genres/classics;/genres/fiction;/genres/literature;/genres/irish-literature;/genres/novels","2,888 users;2,277 users;567 users;340 users;292 users"
"334","/book/show/646462.The_Qur_an_","The Qur'an / القرآن الكريم","الله-جل جلاله","The Quran (English pronunciation: /kɔrˈɑːn/; Arabic: القرآن al-qurʾān, IPA: [qurˈʔaːn], literally meaning ""the recitation""), also transliterated Qur'an, Koran, Al-Coran, Coran, Kuran, and Al-Qur'an, is the central religious text of Islam, which Muslims believe to be the verbatim word of God (Arabic: الله, Allah). The Quran is composed of verses (Ayat) that make up 114 chap
  The Quran (English pronunciation: /kɔrˈɑːn/; Arabic: القرآن‎ al-qurʾān, IPA: [qurˈʔaːn], literally meaning ""the recitation""), also transliterated Qur'an, Koran, Al-Coran, Coran, Kuran, and Al-Qur'an, is the central religious text of Islam, which Muslims believe to be the verbatim word of God (Arabic: الله‎, Allah). The Quran is composed of verses (Ayat) that make up 114 chapters (suras) of unequal length which are classified either as Meccan (المكية) or Medinan (المدنية) depending upon the place and time of their claimed revelation. Muslims believe the Quran to be verbally revealed through the angel Jibrīl (Gabriel) from God to Muhammad gradually over a period of approximately 23 years beginning on 22 December 609 CE, when Muhammad was 40, and concluding in 632 CE, the year of his death.Muslims regard the Quran as the main miracle of Muhammad, the proof of his prophethood and the culmination of a series of divine messages that started with the messages revealed to Adam, regarded in Islam as the first prophet, and continued with Suhuf Ibrahim (Scrolls of Abraham), the Tawrat (Torah or Pentateuch) of Moses, the Zabur (Tehillim or Book of Psalms) of David, and the Injil (Gospel) of Jesus. The Quran assumes familiarity with major narratives recounted in Jewish and Christian scriptures, summarizing some, dwelling at length on others and in some cases presenting alternative accounts and interpretations of events. The Quran describes itself as a book of guidance, sometimes offering detailed accounts of specific historical events, and often emphasizing the moral significance of an event over its narrative sequence.
  ...more","/genres/philosophy;/genres/history;/genres/non-fiction;/genres/spirituality;/genres/mythology;/genres/poetry;/genres/classics;/genres/literature;/genres/politics;/genres/abandoned","167 users;99 users;69 users;66 users;50 users;39 users;22 users;21 users;18 users;14 users"
"335","/book/show/4374400-if-i-stay","If I Stay (If I Stay, #1)","Gayle Forman","Librarian note: an alternate cover for this edition can be found here.Just listen, Adam says with a voice that sounds like shrapnel.I open my eyes wide now.I sit up as much as I can.And I listen.Stay, he says.Choices. Seventeen-year-old Mia is faced with some tough ones: Stay true to her first love—music—even if it means losing her boyfriend and leaving her family and frie
  Librarian note: an alternate cover for this edition can be found here.Just listen, Adam says with a voice that sounds like shrapnel.I open my eyes wide now.I sit up as much as I can.And I listen.Stay, he says.Choices. Seventeen-year-old Mia is faced with some tough ones: Stay true to her first love—music—even if it means losing her boyfriend and leaving her family and friends behind?Then one February morning Mia goes for a drive with her family, and in an instant, everything changes. Suddenly, all the choices are gone, except one. And it's the only one that matters.If I Stay is a heartachingly beautiful book about the power of love, the true meaning of family, and the choices we all make.
  ...more","/genres/young-adult;/genres/romance;/genres/contemporary;/genres/fiction","6,752 users;2,750 users;2,581 users;1,715 users"
"336","/book/show/18710190-allegiant","Allegiant (Divergent, #3)","Veronica Roth","The faction-based society that Tris Prior once believed in is shattered - fractured by violence and power struggles and scarred by loss and betrayal. So when offered a chance to explore the world past the limits she's known, Tris is ready. Perhaps beyond the fence, she and Tobias will find a simple new life together, free from complicated lies, tangled loyalties, and painf
  The faction-based society that Tris Prior once believed in is shattered - fractured by violence and power struggles and scarred by loss and betrayal. So when offered a chance to explore the world past the limits she's known, Tris is ready. Perhaps beyond the fence, she and Tobias will find a simple new life together, free from complicated lies, tangled loyalties, and painful memories.But Tris's new reality is even more alarming than the one she left behind. Old discoveries are quickly rendered meaningliess. Explosive new truths change the hearts of those she loves. And once again, Tris must battle to comprehend to complexities of human nature - and of herself - while facing impossible choices about courage, allegiance, sacrifice, and love.Told from a riveting dual perspective, ALLEGIANT, by #1 New York Times best-selling author Veronica Roth, brings the DIVERGENT series to a powerful conclusion while revealing the secrets of the dystopian world that has captivated millions of readers in DIVERGENT and INSURGENT.
  ...more","/genres/young-adult;/genres/dystopia;/genres/fiction;/genres/fantasy","7,151 users;5,395 users;2,260 users;1,819 users"
"337","/book/show/6334.Never_Let_Me_Go","Never Let Me Go","Kazuo Ishiguro","An alternate cover edition of this ISBN can be found here.As children, Kathy, Ruth, and Tommy were students at Hailsham, an exclusive boarding school secluded in the English countryside. It was a place of mercurial cliques and mysterious rules where teachers were constantly reminding their charges of how special they were. Now, years later, Kathy is a young woman. Ruth and
  An alternate cover edition of this ISBN can be found here.As children, Kathy, Ruth, and Tommy were students at Hailsham, an exclusive boarding school secluded in the English countryside. It was a place of mercurial cliques and mysterious rules where teachers were constantly reminding their charges of how special they were. Now, years later, Kathy is a young woman. Ruth and Tommy have reentered her life, and for the first time she is beginning to look back at their shared past and understand just what it is that makes them special—and how that gift will shape the rest of their time together.
  ...more","/genres/fiction;/genres/science-fiction;/genres/dystopia","5,086 users;2,356 users;1,796 users"
"338","/book/show/6304335-beautiful-creatures","Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia;Margaret Stohl","Lena Duchannes is unlike anyone the small Southern town of Gatlin has ever seen, and she's struggling to conceal her power, and a curse that has haunted her family for generations. But even within the overgrown gardens, murky swamps and crumbling graveyards of the forgotten South, a secret cannot stay hidden forever.Ethan Wate, who has been counting the months until he can
  Lena Duchannes is unlike anyone the small Southern town of Gatlin has ever seen, and she's struggling to conceal her power, and a curse that has haunted her family for generations. But even within the overgrown gardens, murky swamps and crumbling graveyards of the forgotten South, a secret cannot stay hidden forever.Ethan Wate, who has been counting the months until he can escape from Gatlin, is haunted by dreams of a beautiful girl he has never met. When Lena moves into the town's oldest and most infamous plantation, Ethan is inexplicably drawn to her and determined to uncover the connection between them.In a town with no surprises, one secret could change everything.
  ...more","/genres/young-adult;/genres/fantasy;/genres/paranormal;/genres/romance","4,873 users;4,395 users;2,354 users;2,007 users"
"339","/book/show/3685.Black_Beauty","Black Beauty","Anna Sewell","A horse is a horse of course unless of course the horse is Black Beauty. Animal-loving children have been devoted to Black Beauty throughout this century, and no doubt will continue through the next. Although Anna Sewell's classic paints a clear picture of turn-of-the-century London, its message is universal and timeless: animals will serve humans well if they are treated
  A horse is a horse of course unless of course the horse is Black Beauty. Animal-loving children have been devoted to Black Beauty throughout this century, and no doubt will continue through the next. Although Anna Sewell's classic paints a clear picture of turn-of-the-century London, its message is universal and timeless: animals will serve humans well if they are treated with consideration and kindness.Black Beauty tells the story of the horse's own long and varied life, from a well-born colt in a pleasant meadow to an elegant carriage horse for a gentleman to a painfully overworked cab horse. Throughout, Sewell rails - in a gentle, 19th-century way - against animal maltreatment. Young readers will follow Black Beauty's fortunes, good and bad, with gentle masters as well as cruel. Children can easily make the leap from horse-human relationships to human-human relationships, and begin to understand how their own consideration of others may be a benefit to all.
  ...more","/genres/classics;/genres/fiction;/genres/childrens;/genres/animals;/genres/young-adult;/genres/horses;/genres/historical-fiction;/genres/literature;/genres/adventure;/genres/middle-grade","3,708 users;1,224 users;893 users;631 users;610 users;375 users;232 users;110 users;100 users;92 users"
"340","/book/show/47281.Number_the_Stars","Number the Stars","Lois Lowry","Ten-year-old Annemarie Johansen and her best friend Ellen Rosen often think of life before the war. It's now 1943 and their life in Copenhagen is filled with school, food shortages, and the Nazi soldiers marching through town. When the Jews of Denmark are ""relocated,"" Ellen moves in with the Johansens and pretends to be one of the family. Soon Annemarie is asked to go on a
  Ten-year-old Annemarie Johansen and her best friend Ellen Rosen often think of life before the war. It's now 1943 and their life in Copenhagen is filled with school, food shortages, and the Nazi soldiers marching through town. When the Jews of Denmark are ""relocated,"" Ellen moves in with the Johansens and pretends to be one of the family. Soon Annemarie is asked to go on a dangerous mission to save Ellen's life.
  ...more","/genres/fiction;/genres/historical-fiction;/genres/childrens;/genres/classics;/genres/holocaust;/genres/historical;/genres/young-adult;/genres/school;/genres/world-war-ii;/genres/middle-grade","1,455 users;1,346 users;930 users;921 users;791 users;783 users;757 users;504 users;455 users;431 users"
"341","/book/show/42899.Dark_Lover","Dark Lover (Black Dagger Brotherhood, #1)","J.R. Ward","Also see: Alternate Cover Editions for this ISBN [ACE]  ACE #1 In the shadows of the night in Caldwell, New York, there's a deadly turf war going on between vampires and their slayers. There exists a secret band of brothers like no other-six vampire warriors, defenders of their race. Yet none of them relishes killing more than Wrath, the leader of The Black Dagger Brotherh
  Also see: Alternate Cover Editions for this ISBN [ACE] 
  ACE #1
In the shadows of the night in Caldwell, New York, there's a deadly turf war going on between vampires and their slayers. There exists a secret band of brothers like no other-six vampire warriors, defenders of their race. Yet none of them relishes killing more than Wrath, the leader of The Black Dagger Brotherhood.The only purebred vampire left on earth, Wrath has a score to settle with the slayers who murdered his parents centuries ago. But, when one of his most trusted fighters is killed-leaving his half-breed daughter unaware of his existence or her fate-Wrath must usher her into the world of the undead-a world of sensuality beyond her wildest dreams.Also see: Alternate Cover Editions for this ISBN [ACE] 
  ACE #1

  ...more","/genres/romance;/genres/paranormal;/genres/vampires;/genres/paranormal-romance;/genres/fantasy;/genres/urban-fantasy;/genres/adult;/genres/fiction;/genres/erotica;/genres/supernatural","3,019 users;2,968 users;2,831 users;2,584 users;1,432 users;821 users;695 users;415 users;387 users;371 users"
"342","/book/show/3153910-the-art-of-racing-in-the-rain","The Art of Racing in the Rain","Garth Stein","Enzo knows he is different from other dogs: a philosopher with a nearly human soul (and an obsession with opposable thumbs), he has educated himself by watching television extensively, and by listening very closely to the words of his master, Denny Swift, an up-and-coming race car driver.Through Denny, Enzo has gained tremendous insight into the human condition, and he see
  Enzo knows he is different from other dogs: a philosopher with a nearly human soul (and an obsession with opposable thumbs), he has educated himself by watching television extensively, and by listening very closely to the words of his master, Denny Swift, an up-and-coming race car driver.Through Denny, Enzo has gained tremendous insight into the human condition, and he sees that life, like racing, isn't simply about going fast. On the eve of his death, Enzo takes stock of his life, recalling all that he and his family have been through.A heart-wrenching but deeply funny and ultimately uplifting story of family, love, loyalty, and hope, The Art of Racing in the Rain is a beautifully crafted and captivating look at the wonders and absurdities of human life...as only a dog could tell it.
  ...more","/genres/fiction;/genres/animals;/genres/dogs;/genres/contemporary;/genres/adult","3,486 users;758 users;582 users;405 users;296 users"
"343","/book/show/9275658-legend","Legend (Legend, #1)","Marie Lu","There is an alternate cover edition for this ISBN13 here.What was once the western United States is now home to the Republic, a nation perpetually at war with its neighbors. Born into an elite family in one of the Republic's wealthiest districts, fifteen-year-old June is a prodigy being groomed for success in the Republic's highest military circles. Born into the slums, fi
  There is an alternate cover edition for this ISBN13 here.What was once the western United States is now home to the Republic, a nation perpetually at war with its neighbors. Born into an elite family in one of the Republic's wealthiest districts, fifteen-year-old June is a prodigy being groomed for success in the Republic's highest military circles. Born into the slums, fifteen-year-old Day is the country's most wanted criminal. But his motives may not be as malicious as they seem.From very different worlds, June and Day have no reason to cross paths—until the day June's brother, Metias, is murdered and Day becomes the prime suspect. Caught in the ultimate game of cat and mouse, Day is in a race for his family's survival, while June seeks to avenge Metias's death. But in a shocking turn of events, the two uncover the truth of what has really brought them together, and the sinister lengths their country will go to keep its secrets.
  ...more","/genres/young-adult;/genres/romance;/genres/fantasy;/genres/science-fiction;/genres/fiction;/genres/adventure","2,641 users;1,424 users;1,052 users;996 users;916 users;534 users"
"344","/book/show/5805.V_for_Vendetta","V for Vendetta","Alan Moore;David   Lloyd","""Remember, remember the fifth of November...""A frightening and powerful tale of the loss of freedom and identity in a chillingly believable totalitarian world, V for Vendetta stands as one of the highest achievements of the comics medium and a defining work for creators Alan Moore and David Lloyd.Set in an imagined future England that has given itself over to fascism, this
  ""Remember, remember the fifth of November...""A frightening and powerful tale of the loss of freedom and identity in a chillingly believable totalitarian world, V for Vendetta stands as one of the highest achievements of the comics medium and a defining work for creators Alan Moore and David Lloyd.Set in an imagined future England that has given itself over to fascism, this groundbreaking story captures both the suffocating nature of life in an authoritarian police state and the redemptive power of the human spirit which rebels against it. Crafted with sterling clarity and intelligence, V for Vendetta brings an unequaled depth of characterization and verisimilitude to its unflinching account of oppression and resistance.
  ...more","/genres/graphic-novels;/genres/comics;/genres/fiction;/genres/dystopia","4,716 users;1,810 users;1,150 users;762 users"
"345","/book/show/45978.Eldest","Eldest (The Inheritance Cycle, #2)","Christopher Paolini","Darkness falls ...Despair abounds ...Evil reigns ...Eragon and his dragon, Saphira, have just saved the rebel state from destruction by the mighty forces of King Galbatorix, cruel ruler of the Empire. Now Eragon must travel to Ellesmera, land of the elves, for further training in magic and swordsmanship, the vital skills of the Dragon Rider. It is the journey of a lifetime
  Darkness falls ...Despair abounds ...Evil reigns ...Eragon and his dragon, Saphira, have just saved the rebel state from destruction by the mighty forces of King Galbatorix, cruel ruler of the Empire. Now Eragon must travel to Ellesmera, land of the elves, for further training in magic and swordsmanship, the vital skills of the Dragon Rider. It is the journey of a lifetime, filled with awe-inspiring new places and people, each day a fresh adventure. But chaos and betrayal plague him at every turn, and Eragon isn't sure whom he can trust. Meanwhile, his cousin Roran must fight a new battle back home in Carvahall - one that puts Eragon in even graver danger. Will the king's dark hand strangle all resistance? Eragon may not escape with even his life .A wonderful book, full of fantasy and suspense.
  ...more","/genres/young-adult;/genres/dragons","805 users;483 users"
"346","/book/show/6327.The_Witches","The Witches","Roald Dahl;Quentin Blake","This is not a fairy-tale. This is about REAL WITCHES. Real witches don't ride around on broomsticks. They don't even wear black cloaks and hats. They are vile, cunning, detestable creatures who disguise themselves as nice, ordinary ladies. So how can you tell when you're face to face with one? Well, if you don't know yet you'd better find out quickly-because there's nothin
  This is not a fairy-tale. This is about REAL WITCHES. Real witches don't ride around on broomsticks. They don't even wear black cloaks and hats. They are vile, cunning, detestable creatures who disguise themselves as nice, ordinary ladies. So how can you tell when you're face to face with one? Well, if you don't know yet you'd better find out quickly-because there's nothing a witch loathes quite as much as children and she'll wield all kinds of terrifying powers to get rid of them. Ronald Dahl has done it again! Winner of the 1983 Whitbread Award, the judges' decision was unanimous: ""funny, wise, deliciously disgusting, a real book for children. From the first paragraph to the last, we felt we were in the hands of a master"".
  ...more","/genres/childrens;/genres/fantasy;/genres/fiction","1,835 users;1,787 users;1,241 users"
"347","/book/show/310259.Love_You_Forever","Love You Forever","Robert Munsch;Sheila McGraw","An extraordinarily different story by Robert Munsch is a gentle affirmation of the love a parent feels for their child--forever. Sheila McGraw's soft and colorful pastels perfectly complement the sentiment of the book--one that will be read repeatedly for years.","/genres/childrens;/genres/picture-books","1,090 users;1,055 users"
"348","/book/show/8921.The_Hound_of_the_Baskervilles","The Hound of the Baskervilles (Sherlock Holmes, #5)","Arthur Conan Doyle;Anne Perry","Holmes and Watson are faced with their most terrifying case yet. The legend of the devil-beast that haunts the moors around the Baskerville family's home warns the descendants of that ancient clan never to venture out in those dark hours when the power of evil is exalted. Now, the most recent Baskerville, Sir Charles, is dead and the footprints of a giant hound have been f
  Holmes and Watson are faced with their most terrifying case yet. The legend of the devil-beast that haunts the moors around the Baskerville family's home warns the descendants of that ancient clan never to venture out in those dark hours when the power of evil is exalted. Now, the most recent Baskerville, Sir Charles, is dead and the footprints of a giant hound have been found near his body. Will the new heir meet the same fate?
  ...more","/genres/classics;/genres/mystery;/genres/fiction;/genres/crime","4,480 users;3,816 users;2,063 users;871 users"
"349","/book/show/5148.A_Separate_Peace","A Separate Peace","John Knowles","An American classic and great bestseller for over thirty years, A Separate Peace is timeless in its description of adolescence during a period when the entire country was losing its innocence to the second world war.Set at a boys boarding school in New England during the early years of World War II, A Separate Peace is a harrowing and luminous parable of the dark side of a
  An American classic and great bestseller for over thirty years, A Separate Peace is timeless in its description of adolescence during a period when the entire country was losing its innocence to the second world war.Set at a boys boarding school in New England during the early years of World War II, A Separate Peace is a harrowing and luminous parable of the dark side of adolescence. Gene is a lonely, introverted intellectual. Phineas is a handsome, taunting, daredevil athlete. What happens between the two friends one summer, like the war itself, banishes the innocence of these boys and their world.A bestseller for more than thirty years, A Separate Peace is John Knowles crowning achievement and an undisputed American classic.
  ...more","/genres/classics;/genres/young-adult;/genres/school;/genres/literature","2,904 users;941 users;538 users;325 users"
"350","/book/show/43615.The_Gunslinger","The Gunslinger (The Dark Tower, #1)","Stephen King","Beginning with a short story appearing in The Magazine of Fantasy and Science Fiction in 1978, the publication of Stephen King's epic work of fantasy -- what he considers to be a single long novel and his magnum opus -- has spanned a quarter of a century.Set in a world of extraordinary circumstances, filled with stunning visual imagery and unforgettable characters, The Dar
  Beginning with a short story appearing in The Magazine of Fantasy and Science Fiction in 1978, the publication of Stephen King's epic work of fantasy -- what he considers to be a single long novel and his magnum opus -- has spanned a quarter of a century.Set in a world of extraordinary circumstances, filled with stunning visual imagery and unforgettable characters, The Dark Tower series is King's most visionary feat of storytelling, a magical mix of science fiction, fantasy, and horror that may well be his crowning achievement.Book IIn The Gunslinger (originally published in 1982), King introduces his most enigmatic hero, Roland Deschain of Gilead, the Last Gunslinger. He is a haunting, solitary figure at first, on a mysterious quest through a desolate world that eerily mirrors our own. Pursuing the man in black, an evil being who can bring the dead back to life, Roland is a good man who seems to leave nothing but death in his wake.This new edition of The Gunslinger has been revised and expanded throughout by King, with new story material, in addition to a new introduction and foreword. It also includes four full-color illustrations in the hardcover and trade paperback formats.
  ...more","/genres/fantasy;/genres/fiction;/genres/horror;/genres/science-fiction","7,828 users;2,583 users;2,313 users;807 users"
"351","/book/show/46799.Go_Ask_Alice","Go Ask Alice","Beatrice Sparks;Anonymous","A teen plunges into a downward spiral of addiction in this classic cautionary tale. January 24th After you've had it, there isn't even life without drugs....  It started when she was served a soft drink laced with LSD in a dangerous party game. Within months, she was hooked, trapped in a downward spiral that took her from her comfortable home and loving family to the mean
  A teen plunges into a downward spiral of addiction in this classic cautionary tale.
  January 24th After you've had it, there isn't even life without drugs....
 It started when she was served a soft drink laced with LSD in a dangerous party game. Within months, she was hooked, trapped in a downward spiral that took her from her comfortable home and loving family to the mean streets of an unforgiving city. It was a journey that would rob her of her innocence, her youth -- and ultimately her life.
  Read her diary. Enter her world. You will never forget her.
 For thirty-five years, the acclaimed, bestselling first-person account of a teenage girl's harrowing decent into the nightmarish world of drugs has left an indelible mark on generations of teen readers. As powerful -- and as timely -- today as ever, Go Ask Alice remains the definitive book on the horrors of addiction.
  ...more","/genres/fiction;/genres/young-adult;/genres/classics;/genres/contemporary;/genres/realistic-fiction","946 users;868 users;456 users;247 users;221 users"
"352","/book/show/77013.As_I_Lay_Dying","As I Lay Dying","William Faulkner","Alternate cover edition: hereAs I Lay Dying is Faulkner's harrowing account of the Bundren family's odyssey across the Mississippi countryside to bury Addie, their wife and mother. Told in turns by each of the family members—including Addie herself—the novel ranges in mood from dark comedy to the deepest pathos.","/genres/classics;/genres/fiction;/genres/literature;/genres/american","3,152 users;2,268 users;511 users;272 users"
"353","/book/show/16068905-fangirl","Fangirl","Rainbow Rowell","From the author of the New York Times bestseller Eleanor & Park.  A coming-of-age tale of fan fiction, family and first love. Cath is a Simon Snow fan.Okay, the whole world is a Simon Snow fan...But for Cath, being a fan is her life—and she’s really good at it. She and her twin sister, Wren, ensconced themselves in the Simon Snow series when they were just kids; it’s w
  From the author of the New York Times bestseller Eleanor & Park. 
  A coming-of-age tale of fan fiction, family and first love.
Cath is a Simon Snow fan.Okay, the whole world is a Simon Snow fan...But for Cath, being a fan is her life—and she’s really good at it. She and her twin sister, Wren, ensconced themselves in the Simon Snow series when they were just kids; it’s what got them through their mother leaving. Reading. Rereading. Hanging out in Simon Snow forums, writing Simon Snow fan fiction, dressing up like the characters for every movie premiere.Cath’s sister has mostly grown away from fandom, but Cath can’t let go. She doesn’t want to.Now that they’re going to college, Wren has told Cath she doesn’t want to be roommates. Cath is on her own, completely outside of her comfort zone. She’s got a surly roommate with a charming, always-around boyfriend, a fiction-writing professor who thinks fan fiction is the end of the civilized world, a handsome classmate who only wants to talk about words... And she can’t stop worrying about her dad, who’s loving and fragile and has never really been alone.For Cath, the question is: Can she do this? Can she make it without Wren holding her hand? Is she ready to start living her own life? Writing her own stories?And does she even want to move on if it means leaving Simon Snow behind?
  ...more","/genres/young-adult;/genres/contemporary;/genres/romance;/genres/fiction","6,698 users;3,758 users;3,327 users;1,998 users"
"354","/book/show/45032.Mansfield_Park","Mansfield Park","Jane Austen;Kathryn Sutherland;Tony Tanner;Claire Lamont","'We have all been more or less to blame ...every one of us, excepting Fanny'Taken from the poverty of her parents' home, Fanny Price is brought up with her rich cousins at Mansfield Park, acutely aware of her humble rank and with only her cousin Edmund as an ally. When Fanny's uncle is absent in Antigua, Mary Crawford and her brother Henry arrive in the neighbourhood, brin
  'We have all been more or less to blame ...every one of us, excepting Fanny'Taken from the poverty of her parents' home, Fanny Price is brought up with her rich cousins at Mansfield Park, acutely aware of her humble rank and with only her cousin Edmund as an ally. When Fanny's uncle is absent in Antigua, Mary Crawford and her brother Henry arrive in the neighbourhood, bringing with them London glamour and a reckless taste for flirtation. As her female cousins vie for Henry's attention, and even Edmund falls for Mary's dazzling charms, only Fanny remains doubtful about the Crawfords' influence and finds herself more isolated than ever. A subtle examination of social position and moral integrity, Mansfield Park is one of Jane Austen's most profound works.This edition is based on the first edition of 1814. It includes a new chronology, additional suggestions for further reading and the original Penguin Classics introduction by Tony Tanner
  ...more","/genres/classics;/genres/fiction;/genres/romance","9,939 users;2,606 users;1,685 users"
