ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
11512,104-CI-T01,Pre-PQ Process,SO-971,DN-421,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,17-Jan-08,17-Jan-08,17-Jan-08,ARV,Adult,SCMS from RDC,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Saquinavir,Invirase,200mg,Capsule,270,332,26108.48,78.64,0.29,Roche Basel,No,See DN-421 (ID#:10919),See DN-421 (ID#:10919),41.77
11515,100-ZW-T01,Pre-PQ Process,SO-712,DN-623,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,5-Mar-08,5-Mar-08,5-Mar-08,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,30,1600,3200,2,0.07,"Cipla, Goa, India",No,See DN-623 (ID#:10925),See DN-623 (ID#:10925),5.12
11516,114-UG-T01,Pre-PQ Process,SO-1302,DN-489,Uganda,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,15-Jan-08,15-Jan-08,15-Jan-08,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,2084,19798,9.5,0.16,"Aurobindo Unit III, India",Yes,237,1154.5,31.68
11517,107-RW-T01,Pre-PQ Process,SO-1534,DN-590,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,29-Feb-08,29-Feb-08,29-Feb-08,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,600,24660,41.1,0.34,ABBVIE (Abbott) Logis. UK,Yes,859,5531.4,39.46
11518,110-ZM-T01,Pre-PQ Process,SO-783,DN-481,Zambia,PMO - US,From RDC,N/A - From RDC,N/A,Pre-PQ Process,N/A - From RDC,15-Jan-08,15-Jan-08,15-Jan-08,HRDT,HIV test - Ancillary,SCMS from RDC,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,N/A,Test kit - Ancillary,100,2100,21,0.01,0,Inverness Japan,No,See DN-481 (ID#:10656),See DN-481 (ID#:10656),0.03
11520,117-ET-T01,Pre-PQ Process,SO-1512,DN-517,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,14-Dec-07,14-Dec-07,14-Dec-07,ARV,Adult,SCMS from RDC,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,535,9095,17,0.57,Gilead(Nycomed) Oranienburg DE,Yes,33,755.5,14.55
11521,100-ZW-T01,Pre-PQ Process,SO-708,DN-479,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,5-Feb-08,5-Feb-08,5-Feb-08,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,37240,275576,7.4,0.12,"Cipla, Goa, India",No,See DN-479 (ID#:10647),See DN-479 (ID#:10647),440.92
11522,117-ET-T01,Pre-PQ Process,SO-1601,DN-577,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,7-Feb-08,7-Feb-08,7-Feb-08,ARV,Adult,SCMS from RDC,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,4394,74698,17,0.57,"Aspen-OSD, Port Elizabeth, SA",Yes,317,1628.18,119.52
11523,112-NG-T01,Pre-PQ Process,SO-1430,DN-551,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,16-Jan-08,16-Jan-08,16-Jan-08,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,792,4910.4,6.2,0.03,"Aurobindo Unit III, India",Yes,272,2047,7.86
11524,117-ET-T01,Pre-PQ Process,SO-1523,DN-540,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,20-Dec-07,16-Jan-08,16-Jan-08,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,29500,89680,3.04,0.05,"Ranbaxy, Paonta Shahib, India",Yes,1650,11339.5,143.49
11525,109-TZ-T01,Pre-PQ Process,SO-1648,DN-559,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,25-Feb-08,25-Feb-08,25-Feb-08,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,20000,248400,12.42,0.41,"Aurobindo Unit III, India",No,See DN-559 (ID#:10940),See DN-559 (ID#:10940),397.44
11526,104-CI-T01,Pre-PQ Process,SO-1284,DN-586,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,5-Feb-08,5-Feb-08,5-Feb-08,ARV,Adult,SCMS from RDC,"Indinavir 400mg [Crixivan], capsules, 180 Caps",Indinavir,Crixivan,400mg,Capsule,180,1550,77500,50,0.28,"MSD, Haarlem, NL",Yes,345,1888.48,124
11527,100-ZW-T01,Pre-PQ Process,SO-711,DN-604,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,5-Mar-08,5-Mar-08,5-Mar-08,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,2508,18559.2,7.4,0.12,"Cipla, Goa, India",Yes,4303,12894.85,29.69
11528,110-ZM-T01,Pre-PQ Process,SO-1807,DN-822,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,29-Jul-08,29-Jul-08,29-Jul-08,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,50000,600500,12.01,0.4,Mylan (formerly Matrix) Nashik,Yes,3882,5468.93,960.8
11529,106-HT-T01,Pre-PQ Process,SO-2058,DN-692,Haiti,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,3-Apr-08,3-Apr-08,3-Apr-08,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,18760,225307.6,12.01,0.4,Mylan (formerly Matrix) Nashik,No,See DN-692 (ID#:11233),See DN-692 (ID#:11233),360.49
11530,106-HT-T01,Pre-PQ Process,SO-2598,DN-783,Haiti,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,13-Jun-08,13-Jun-08,13-Jun-08,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,17843,60666.2,3.4,0.06,"Aurobindo Unit III, India",Yes,1667,19069.17,97.07
11531,110-ZM-T01,Pre-PQ Process,SO-1895,DN-824,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,23-Jul-08,23-Jul-08,23-Jul-08,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,45000,540450,12.01,0.4,Mylan (formerly Matrix) Nashik,Yes,3457,1934.31,864.72
11532,100-PK-T01,Pre-PQ Process,SO-2496,DN-732,Pakistan,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,19-May-08,19-May-08,19-May-08,HRDT,HIV test - Ancillary,SCMS from RDC,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,N/A,Test kit - Ancillary,100,20,0.2,0.01,0,Inverness Japan,No,See DN-732 (ID#:10675),See DN-732 (ID#:10675),0
11533,131-NG-T01,Pre-PQ Process,SO-2575,DN-737,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,14-May-08,14-May-08,14-May-08,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,164,2177.92,13.28,0.22,"Aurobindo Unit III, India",Yes,2095,10098.25,3.48
11535,109-TZ-T01,Pre-PQ Process,SO-1942,DN-654,Tanzania,PMO - US,From RDC,N/A - From RDC,N/A,Pre-PQ Process,N/A - From RDC,28-Mar-08,28-Mar-08,28-Mar-08,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,49997,620962.74,12.42,0.41,"Aurobindo Unit III, India",Yes,4345,14637,993.54
11536,112-NG-T01,Pre-PQ Process,SO-2726,DN-800,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,19-Jun-08,19-Jun-08,19-Jun-08,ARV,Adult,SCMS from RDC,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,154,238.7,1.55,0.03,"Aurobindo Unit III, India",No,See DN-800 (ID#:10953),See DN-800 (ID#:10953),0.38
11537,106-HT-T01,Pre-PQ Process,SO-2047,DN-742,Haiti,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,2-Jun-08,2-Jun-08,2-Jun-08,ARV,Pediatric,SCMS from RDC,"Didanosine 200mg, chewable/dispersible tablets, 60 Tabs",Didanosine,Generic,200mg,Chewable/dispersible tablet,60,98,1519,15.5,0.26,"Aurobindo Unit III, India",Yes,77,991.49,2.43
11538,109-TZ-T01,Pre-PQ Process,SO-1695,DN-663,Tanzania,PMO - US,From RDC,N/A - From RDC,N/A,Pre-PQ Process,N/A - From RDC,22-Apr-08,23-Apr-08,23-Apr-08,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,5730,157746.9,27.53,0.46,"Aurobindo Unit III, India",No,See DN-663 (ID#:10960),See DN-663 (ID#:10960),252.4
11539,123-NG-T01,Pre-PQ Process,SO-2553,DN-836,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,31-Jul-08,31-Jul-08,31-Jul-08,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,6002,20406.8,3.4,0.06,"Aurobindo Unit III, India",No,See DN-836 (ID#:11244),See DN-836 (ID#:11244),32.65
11540,105-GY-T01,Pre-PQ Process,SO-11630,DN-841,Guyana,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,25-Jul-08,25-Jul-08,25-Jul-08,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,431,1249.9,2.9,0.05,"Aurobindo Unit III, India",Yes,377,5228.67,2
11541,114-UG-T01,Pre-PQ Process,SO-1301,DN-480,Uganda,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,19-Mar-08,19-Mar-08,19-Mar-08,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,30,300,600,2,0.07,"Cipla, Goa, India",No,See DN-480 (ID#:10693),See DN-480 (ID#:10693),0.96
11542,106-HT-T01,Pre-PQ Process,SO-2601,DN-788,Haiti,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,1-Jul-08,1-Jul-08,1-Jul-08,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,105,1680,16,0.18,"Aurobindo Unit III, India",Yes,14,1015.24,2.69
11543,112-NG-T01,Pre-PQ Process,SO-2350,DN-718,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,21-Apr-08,21-Apr-08,21-Apr-08,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,1300,12285,9.45,0.16,"Aurobindo Unit III, India",No,See DN-718 (ID#:10968),See DN-718 (ID#:10968),19.66
11545,109-TZ-T01,Pre-PQ Process,SO-1651,DN-636,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,1-Apr-08,1-Apr-08,1-Apr-08,ARV,Pediatric,SCMS from RDC,"Didanosine 100mg, chewable/dispersible tablets, 60 Tabs",Didanosine,Generic,100mg,Chewable/dispersible tablet,60,9367,72594.25,7.75,0.13,"Aurobindo Unit III, India",Yes,1955,6923.3,116.15
11547,104-CI-T01,Pre-PQ Process,SO-1838,DN-632,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,13-Mar-08,13-Mar-08,13-Mar-08,HRDT,HIV test - Ancillary,SCMS from RDC,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,N/A,Test kit - Ancillary,100,250,2.5,0.01,0,Inverness Japan,Yes,61,1225.42,0
11548,119-NA-T01,Pre-PQ Process,SO-1764,DN-635,Namibia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,14-Mar-08,14-Mar-08,14-Mar-08,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,21000,252210,12.01,0.4,"Aurobindo Unit III, India",Yes,1815,6074.62,403.54
11550,114-UG-T01,Pre-PQ Process,SO-1928,DN-652,Uganda,PMO - US,From RDC,N/A - From RDC,N/A,Pre-PQ Process,N/A - From RDC,7-Apr-08,7-Apr-08,7-Apr-08,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,1450,19575,13.5,0.22,"Cipla, Goa, India",Yes,167,1472.77,31.32
11551,106-HT-T01,Pre-PQ Process,SO-2072,DN-695,Haiti,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,11-Apr-08,11-Apr-08,11-Apr-08,ARV,Pediatric,SCMS from RDC,"Efavirenz 30mg/ml [Stocrin/Sustiva], oral solution, Bottle, 180 ml",Efavirenz,Stocrin/Sustiva,30mg/ml,Oral solution,180,34,576.64,16.96,0.09,"MSD, Haarlem, NL",Yes,14,896.55,0.92
11552,117-ET-T01,Pre-PQ Process,SO-1537,DN-631,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,6-Mar-08,6-Mar-08,6-Mar-08,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,65500,199120,3.04,0.05,"Ranbaxy, Paonta Shahib, India",Yes,3858,12047.8,318.59
11553,106-HT-T01,Pre-PQ Process,SO-2055,DN-690,Haiti,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,14-Apr-08,14-Apr-08,14-Apr-08,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,24345,230060.25,9.45,0.16,"Aurobindo Unit III, India",No,See DN-690 (ID#:10706),See DN-690 (ID#:10706),368.1
11554,111-MZ-T01,Pre-PQ Process,SO-1876,DN-707,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,22-May-08,22-May-08,22-May-08,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,39000,288600,7.4,0.12,"Cipla, Goa, India",Yes,7719,6260.71,461.76
11555,113-ZW-T01,Pre-PQ Process,SO-2502,DN-813,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,26-Jul-08,26-Jul-08,26-Jul-08,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,4000,48040,12.01,0.4,"Aurobindo Unit III, India",No,See DN-813 (ID#:10979),See DN-813 (ID#:10979),76.86
11556,110-ZM-T01,Pre-PQ Process,SO-2549,DN-823,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,23-Jul-08,23-Jul-08,23-Jul-08,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,60000,432000,7.2,0.12,"Strides, Bangalore, India.",No,See DN-823 (ID#:11271),See DN-823 (ID#:11271),691.2
11557,105-GY-T01,Pre-PQ Process,SO-2465,DN-728,Guyana,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,20-May-08,20-May-08,20-May-08,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,1530,125766,82.2,0.68,ABBVIE Ludwigshafen Germany,Yes,347,4220.15,201.23
11558,109-TZ-T01,Pre-PQ Process,SO-2721,DN-766,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,10-Jul-08,10-Jul-08,10-Jul-08,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,11352,33034.32,2.91,0.05,"Aurobindo Unit III, India",Yes,572,4152.56,52.85
11559,109-TZ-T01,Pre-PQ Process,SO-2682,DN-902,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,26-Sep-08,26-Sep-08,26-Sep-08,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,2580,106038,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,587,1153.97,169.66
11560,117-ET-T01,Pre-PQ Process,SO-18340,DN-1003,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,11-Nov-08,11-Nov-08,11-Nov-08,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,5000,39500,7.9,0.13,"Aurobindo Unit III, India",Yes,229,1774.3,77.42
11561,113-ZW-T01,Pre-PQ Process,SO-13991,DN-1015,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,19-Nov-08,19-Nov-08,19-Nov-08,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,30,8000,16000,2,0.07,"Cipla, Goa, India",Yes,8855,29883.7,31.36
11562,110-ZM-T01,Pre-PQ Process,SO-19411,DN-1029,Zambia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,11-Dec-08,11-Dec-08,11-Dec-08,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,2306,18793.9,8.15,0.14,"Aurobindo Unit III, India",Yes,132,1659.48,36.84
11563,102-KE-T01,Pre-PQ Process,SO-11440,DN-965,Kenya,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,23-Oct-08,23-Oct-08,23-Oct-08,HRDT,HIV test - Ancillary,SCMS from RDC,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,N/A,Test kit - Ancillary,100,5000,50,0.01,0,Inverness Japan,Yes,Weight Captured Separately,Invoiced Separately,0.1
11564,105-GY-T01,Pre-PQ Process,SO-18470,DN-1017,Guyana,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,21-Nov-08,21-Nov-08,21-Nov-08,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,416,3286.4,7.9,0.13,"Aurobindo Unit III, India",Yes,49,1465.71,6.44
11565,114-UG-T01,Pre-PQ Process,SO-17790,DN-1082,Uganda,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,3-Mar-09,3-Mar-09,3-Mar-09,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,50,395,7.9,0.13,"Aurobindo Unit III, India",Yes,3,978.92,0.77
11567,110-ZM-T01,Pre-PQ Process,SO-2490,DN-950,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,21-Oct-08,21-Oct-08,21-Oct-08,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,40454,137543.6,3.4,0.06,"Aurobindo Unit III, India",Yes,3787,4060.55,269.59
11568,114-UG-T01,Pre-PQ Process,SO-17770,DN-998,Uganda,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,15-Dec-08,15-Dec-08,15-Dec-08,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,2523,8073.6,3.2,0.05,Hetero Unit III Hyderabad IN,Yes,585,5698.01,15.82
11569,107-RW-T01,Pre-PQ Process,SO-24620,DN-1117,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,6-Mar-09,6-Mar-09,6-Mar-09,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,15000,131400,8.76,0.15,"Aurobindo Unit III, India",Yes,1364,21215.4,257.54
11570,112-NG-T01,Pre-PQ Process,SO-2729,DN-1008,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,17-Nov-08,17-Nov-08,17-Nov-08,ARV,Adult,SCMS from RDC,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,948,1469.4,1.55,0.03,"Aurobindo Unit III, India",Yes,127,4984.4,2.88
11571,112-NG-T01,Pre-PQ Process,SO-2729,DN-1008,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,17-Nov-08,17-Nov-08,17-Nov-08,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,1077,3123.3,2.9,0.05,"Aurobindo Unit III, India",No,See DN-1008 (ID#:11570),See DN-1008 (ID#:11570),6.12
11572,112-NG-T01,Pre-PQ Process,SO-2729,DN-1008,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,17-Nov-08,17-Nov-08,17-Nov-08,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,6,157.5,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",No,See DN-1008 (ID#:11570),See DN-1008 (ID#:11570),0.31
11573,130-NG-T01,Pre-PQ Process,SO-10650,DN-1009,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,17-Nov-08,17-Nov-08,17-Nov-08,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,2454,8343.6,3.4,0.06,"Aurobindo Unit III, India",Yes,231,4401.4,16.35
11574,130-NG-T01,Pre-PQ Process,SO-17690,DN-1012,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,26-Nov-08,26-Nov-08,26-Nov-08,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,2780,25993,9.35,0.16,"Aurobindo Unit III, India",Yes,262,2426.8,50.95
11577,110-ZM-T01,Pre-PQ Process,SO-2486,DN-912,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,23-Sep-08,23-Sep-08,23-Sep-08,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,26402,249498.9,9.45,0.16,"Aurobindo Unit III, India",Yes,6986,6269.7,399.2
11578,113-ZW-T01,Pre-PQ Process,SO-2503,DN-900,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,12-Sep-08,12-Sep-08,12-Sep-08,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,76000,562400,7.4,0.12,"Cipla, Goa, India",No,See DN-900 (ID#:11284),See DN-900 (ID#:11284),899.84
11579,112-NG-T01,Pre-PQ Process,SO-12780,DN-911,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,12-Sep-08,12-Sep-08,12-Sep-08,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,76,1995,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",Yes,7,747.5,3.19
